,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
101,Capitan_Waffles,"Anti-Imperialist | Citizen Journalist | Patriotic Communist 

Using social media to spread the good kind of propaganda.",,336,345,21831,1335,"One triple vaxxed Israeli physician reportedly infected another triple vaxxed physician with the Omicron variant. Both have mild symptoms. 
https://t.co/0g0EeJ55S7",[]
102,fijaap,Don't worry; I'll be right behind you.,on the edge of greatness,2110,103,10574,3439,"Canada is expanding its travel ban to include Nigeria, Malawi and Egypt. (After previously imposing bans on southern African countries.)
Interestingly, there are far more confirmed cases of Omicron in European countries than in Nigeria, Malawi or Egypt. But they're not banned.",[]
103,AuldViking,#SmallBusinessOwner #CommunityPlanner #Anthropologist #Geographer #Educator #CertifiedCarbonNegative #NewsletterPublisher 🇺🇸🇬🇧,"Auburn, NY",4171,3173,20537,0,"Federation Starships ""Brazil"" and ""Japan"" are now reporting in from the Romulan Neutral Zone and two more spectacular collisions with REALITY.

The discovery of Omicron in Japan is particularly discomforting given the relative geographical isolation of  that country.",[]
104,roblutzer,,,230,23,22,6,The emergence of #Omicron has strengthened our belief that #vaccines targeting the S protein are insufficient to gain control of the #COVID19 pandemic. Our next-gen vaccine that targets the genetically more conserved N protein could be a better bet. https://t.co/s5h1tcFz0y,"['Omicron', 'vaccines']"
105,TheFilthyFacts,They have BILLION$ into media lies. The truth doesn't have that kinda budget. Watch out! 🚫 #NewWorldOrder 🚫 #JUSTICE #Patriots #AntiDeSantis #AntiClinton,NO THANKS NEW WORLD ORDER,85,20,2511,0,@disclosetv Please read my pinned tweet I need to get the word out on #Omicron,['Omicron']
106,Patrici26077567,"Arty, glass half full type!",,1044,1062,85016,69,Is #Omicron an Omicon? UK Government FAILS to introduce legislation to reinstate #Masks and gets #MSM to pretend its done so https://t.co/LCuScfdv11,"['Omicron', 'Masks', 'MSM']"
107,caroline_pers,,,97,235,56753,159,"2) Dutch authorities on Tuesday that they found the new Omicron variant of the coronavirus in cases dating back as long as 11 days, indicating that it was already spreading in western Europe before the first cases were identified in southern Africa.",[]
108,AyeCal_,Graduate of the University of Maryland Eastern Shore #NUPE Caption Any Photo 📸 !TM,,951,970,39947,11157,"Omicron or Omarion, either way, please get vaxxed or boosted like you “Post to Be”.",[]
109,jpb1467,Mom/Gma LIBERAL! Pres. Biden/VP Harris! Thank you GA for TURNING SENATE BLUE Sen Jon Ossoff/Sen Raphael Warnock! STOP GOP VOTE BLUE! Fr Louisiana MidWest now,,9057,8262,310196,56,"@B52Malmet I may be dense, but I really don't understand how a judge could possibly think that in the midst of a 5th Delta wave and Omicron on its heels that is okay to have unvaccinated health care workers.  This seems to be incredibly idiotic to me.",[]
110,reesean,"Academics: literature, history, theology. Irresponsible peddler of dystopian alternative futures, which I hope don't come true. Work: Scrum Master.","St. Paul, MN",5002,1571,145657,1,"Strong Majority of Adults Back Variety of Public Health Measures in Light of Omicron Variant, Including Travel Restrictions (@mg_galvin @morningconsult) https://t.co/4kCeSIEMyI https://t.co/WWvsWqOWmZ",[]
111,doccodm,"codm toutes section, medecine, cardio, photographie",,3401,5633,43763,3762,"We're going to fight the Omicron variant the way we’ve been fighting COVID-19 since the beginning—with scientific and knowledgeable actions and speed, not chaos and confusion.",[]
112,jmoralesv03,"Mg. Eng. Ingeniero de software, Microsoft .NET, web, Azure, VMs. Anti fujimontesinista, antigolpista. Coldplayer 🎶 Pues eso 🤓💻☁","Lima, Peru",791,285,120257,588,"Intriguing—Netherlands govt says #Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world. 🧵 #COVID19 
https://t.co/8bgbFgaiIW",['Omicron']
113,YorkieWR,"Grumpy old man
""I disapprove of what you say, but I will defend to the death your right to say it"" #AllLivesMatter #Plandemic  #Casedemic",Yorkshire,1190,2789,85949,12,"#Omicron
#OmicronVariant
Do you see where this is going...? https://t.co/80KVMjumsl","['Omicron', 'OmicronVariant']"
114,jazziegotem,"A low key,young visionary who wants to change the world but still throw that a** in a circle. Trying to save 💰& keep my life lit at the same time. $Jazminepica","New York, USA",372,424,27298,2207,…what’s the real difference between Biden calling Omicron “the South African Variant” and Trump calling COVID “the China virus”?,[]
115,PattyRegia100,Journalist,"Dallas, TX",3255,1510,34601,29,"NEW: We are now testing the city’s wastewater for the Omicron (B.1.1.529) variant of the virus that causes #COVID19. It was not detected in the most recent round of samples. Wastewater testing occurs weekly. https://t.co/hjZyNGwbUa

#hounews @houmayor @HoustonTX @HoustonOEM",['COVID19']
116,GeorgeGoodall10,Junior Software Developer & trying my best to Swing Trade. LSE MSc EME graduate 😊,"Kimmeridge, England",356,9,668,19,🦠 Wells Fargo | Global Economic Outlook – Omicron Variant Scenario Analysis https://t.co/2EGfjgzDhh,[]
117,PPEtoheros,"I’m an engineer, scientist & global advocate working to raise awareness around elastomeric respirators to save as many lives around the world as possible.","Greater Sudbury / Grand Sudbury, Ontario",4947,3228,12596,588,"Intriguing—Netherlands govt says #Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world. 🧵 #COVID19 
https://t.co/8bgbFgaiIW",['Omicron']
118,Terminus_Verge,Still living a charmed but not charming life & “dangerously oblivious to flirting”. The colour of hope is not always the sign of goodness. Collector of masks.,E of the Sun. W of the Moon,1433,574,106902,407,"So omicron variant was in Europe before it was first detected in South Africa, but South Africa’s excellent virus surveillance systems detected it first, and we’re banning travellers from where?",[]
119,epeterd916,"I never get enough sleep. Duke Wayne was an American hero. 
Ignorance and prejudice and fear walk hand in hand. -Peart
ISTJ-T #GoDodgers",,1154,1908,397441,2285,"This is the chair of the South African Medical Association, Angelique Coetzee. She discovered the Omicron Variant. https://t.co/1BMwD6lQ90",[]
120,LValkari,A  GLOBAL LIBERAL PANDEMIC is HERE-SPREAD BY #FAKENEWS producing dangerous  spiked protein called #LIES.The TRUTH IS THE CURE.#STOPCENSORSHIP #StopMandates #FJB,,25,0,166,869,"#OmicronVariant ""presents mild disease with symptoms being sore muscles and tiredness for a day or two not feeling well. [...] as medical practitioners, we do not know why so much hype is being driven""

Angelique Coetzee, chairwoman of SAMA
https://t.co/rYMOy1QHYY",['OmicronVariant']
121,kamiklooter,"Momma, wife, MS awareness, business grad I make bracelets & diaper cakes. God is good.",NV,1940,479,21572,11,@JoeBiden So banning travel from 8 African countries (some of which there is no evidence Omicron is present) while allowing travel from all the European countries that have the variant is science?,[]
122,Wil_Johnson1,"Christian Conservative Independent Vet. proudly supporting our US Military/Vets, Border Patrol, Police. Stay Informed or get hit by Drive-By Media #MAGA #2A NRA",Puget Sound,6344,6291,347910,4,Africa Fumes at Omicron Travel Bans: ‘Racism Is a Very Blunt Tool’ https://t.co/c4G56yVtf7 via @BreitbartNews,[]
123,PurpleGainde,💜💜🇸🇳🇸🇳🇸🇳💜💜,,276,150,7882,21146,JUST IN: Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world https://t.co/p1Hh7YSRZQ,[]
124,teachwellall,Teach Well Toolkit School Membership provides coaching and online tools to build a supportive whole-school culture of staff wellbeing and mental health.,"Manchester, England",5295,4824,34547,18,"With the emergence of the Omicron variant, it’s an odd flex for the DfE to ‘strongly advise’ face masks &amp; isolations for positive tests. Yet the Ed Sec has insisted on Ofsted inspections taking place &amp; has issued 'very strong advice' to schools to continue with nativities.",[]
125,sterlingC69,#TheResistance  Block Bots #Glovesoff #IndictTrump  #Strongertogether  #WearaDamnMask #DoubleVaxxed, USA,11689,11336,207112,3762,"We're going to fight the Omicron variant the way we’ve been fighting COVID-19 since the beginning—with scientific and knowledgeable actions and speed, not chaos and confusion.",[]
126,caroline_pers,,,97,235,56753,132,"3) The RIVM health institute said it found Omicron in samples dating from November 19 &amp; 23.

Belgium and Germany have also said that sample tests confirm the variant was in those countries before South African health officials alerted the world on November 24 to its existence. 👀",[]
127,Stoneglo1,"Ph.D. Theater, Art. Higher Ed. Ed Tech. Former union steward. Mostly retweet knowledgeable journalists, scientists, legal experts and humor.",Here and there,567,818,194989,42,"The news of the new #COVID19 variant, #Omicron, is really upsetting. There has already been so much pain and suffering caused by the #Coronavirus, and now it might be that the protections we have in place will be less than adequate to protect us. https://t.co/W509dOWmem","['COVID19', 'Omicron']"
128,naruruchan,"‏‏‏‏‏Freelance artist. 英語と日本語が分かります！
اتكلم باللهجة عراقية و افهم معظم اللهجات الخليج. Public account.
Art Twitter account: DM me :)
I'm very stupid 🌹",*points on the map*,634,307,24412,21146,JUST IN: Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world https://t.co/p1Hh7YSRZQ,[]
129,durcesar,"México necesita ser un país próspero y no lo va lograr con López.   Doy guerra en redes y las opiniones aquí vertidas son a título personal.
#SigueMeyTeSigo",,5555,5138,39117,0,@Carloslopezjone The latest on the Omicron for those that want to know the truth. Former CDC director https://t.co/04nUh2Bp07,[]
130,mrbonk61,"retired middle school teacher and union leader (IEA-NEA)

woke anti-fascist fan of Critical Race Theory

ancien prof de français, il/lui",Chicagoland,1837,521,18589,0,"Why? How about the way Greeks pronounce it today?

Plus, the ""American"" pronunciation could be related to whether one was in a fraternity or sorority in college. 

I asked seven classics experts how to pronounce ""omicron"" https://t.co/wZXqza7jiD via @MotherJones",[]
131,AttiaKiro,"#BIIP the collective.
gold on my teeth.
preferred pronouns: lord/saviour",,366,349,9446,75,"On new restrictions: Ontario's CMOH says he doesn't see the need to step backwards right now and says if Omicron is ""less lethal"", has a lesser impact on the hospital system and is impacted by the vaccine -- then there's no need to further public health restrictions. 

#onpoli",[]
132,cayo1950,Acapulqueño. Soy Guerrerense,"Acapulco, México",2568,5012,14385,58,"Importantly, even if the omicron variant is not more deadly than delta on a per-case basis, its higher infectiousness alone could cause a large spike in deaths on a population level (because it could cause many more people to get sick quickly). 30/",[]
133,ELHopkins,Composer and Trumpet player with a passion for music education. For more news please visit my facebook page https://t.co/coAO5UGLTn…,London,4227,2853,8704,55,"We don't need Omicron for Health or Education to collapse over Winter, with inadequate measures it already seems unsustainable 

Different schools same area
1/ https://t.co/124tBPJekD",[]
134,c_isacsson,"Hello, how you doing? I'm fine thanks",,250,72,1146,331,"South African Dr Angelique Coetzee, who first raised awareness over the Omicron variant, says the rest of the world is over-reacting. 

""Patients I've seen had mild symptoms and recovered. None were admitted and no oxygen was needed. The hype makes no sense to at all.""",[]
135,OldElnora,Liberal. Music lover. Reader.,,963,170,30332,0,@LaurenAshley087 Cousin Omicron?,[]
136,krablegg_,"💙 ""If you're gonna fight, fight like you're the third monkey on the ramp to Noah's Ark…and brother, it's starting to rain."" #BidenHarris2024 💙 #BLM 🙋🏽‍♀️","Fort Lauderdale, FL",5057,5083,190503,1845,"If you are scared of the new Omicron variant, get your booster right away and stay masked up indoors while in public places.

If you think Omicron is a Democratic hoax, then I don’t know what to say other than to try turning off Fox News and OANN.",[]
137,Margaret_ADuffy,Proud widow of a VietNam Vet • #TwitterPhilanthropy • Do NOT add me to “Follow Lists” • #JoeBiden2020 • #BlackLivesMatter • Get Vaccinated • Wear Your Mask •,"Texas, USA",1308,2391,264937,90,"The right-wing conspiracy machine is fired up to convince Q-nuts that Democrats invented the Omicron variant to steal the 2022 election.

These fckin' idiots will gladly ride the ""freedumb"" train straight to hell.

One request... don't take the rest of us with you.

#DemVoice1 https://t.co/SKtzPIhf04",[]
